mu,xi,sigma,q005,q095
93.444,-0.68985,8.2551,92.381,95.127
93.444,-0.68198,8.2672,92.354,95.099
93.444,-0.67411,8.2792,92.326,95.07
93.444,-0.66624,8.2913,92.298,95.042
93.444,-0.65837,8.3033,92.27,95.013
93.444,-0.6505,8.3153,92.24,94.984
93.444,-0.64263,8.3273,92.21,94.955
93.444,-0.63476,8.3393,92.179,94.925
93.444,-0.62689,8.3512,92.147,94.895
93.444,-0.61901,8.3631,92.114,94.865
93.444,-0.61114,8.375,92.081,94.835
93.444,-0.60327,8.3869,92.047,94.805
93.444,-0.5954,8.3988,92.012,94.775
93.444,-0.58753,8.4106,91.976,94.744
93.444,-0.57966,8.4224,91.939,94.713
93.444,-0.57179,8.4342,91.901,94.682
93.444,-0.56392,8.4459,91.862,94.651
93.444,-0.55605,8.4577,91.823,94.62
93.444,-0.54818,8.4694,91.782,94.589
93.444,-0.54031,8.481,91.74,94.558
93.444,-0.53243,8.4927,91.698,94.526
93.444,-0.52456,8.5044,91.654,94.495
93.444,-0.51669,8.516,91.609,94.463
93.444,-0.50882,8.5276,91.563,94.431
93.444,-0.50095,8.5391,91.516,94.4
93.444,-0.49308,8.5507,91.468,94.368
93.444,-0.48521,8.5622,91.418,94.337
93.444,-0.47734,8.5737,91.367,94.305
93.444,-0.46947,8.5852,91.315,94.274
93.444,-0.4616,8.5966,91.262,94.242
93.444,-0.45373,8.6081,91.208,94.211
93.444,-0.44586,8.6195,91.152,94.18
93.444,-0.43798,8.6309,91.094,94.149
93.444,-0.43011,8.6422,91.036,94.119
93.444,-0.42224,8.6536,90.975,94.088
93.444,-0.41437,8.6649,90.914,94.058
93.444,-0.4065,8.6762,90.85,94.028
93.444,-0.39863,8.6875,90.786,93.998
93.444,-0.39076,8.6987,90.719,93.969
93.444,-0.38289,8.7099,90.651,93.94
93.444,-0.37502,8.7211,90.581,93.912
93.444,-0.36715,8.7323,90.51,93.884
93.444,-0.35928,8.7435,90.437,93.857
93.444,-0.3514,8.7546,90.362,93.83
93.444,-0.34353,8.7657,90.285,93.804
93.444,-0.33566,8.7768,90.206,93.778
93.444,-0.32779,8.7879,90.125,93.754
93.444,-0.31992,8.7989,90.042,93.73
93.444,-0.31205,8.8099,89.957,93.706
93.444,-0.30418,8.8209,89.871,93.684
93.444,-0.29631,8.8319,89.781,93.662
93.444,-0.28844,8.8428,89.69,93.641
93.444,-0.28057,8.8538,89.597,93.622
93.444,-0.2727,8.8647,89.501,93.603
93.444,-0.26482,8.8755,89.402,93.585
93.444,-0.25695,8.8864,89.302,93.569
93.444,-0.24908,8.8972,89.199,93.553
93.444,-0.24121,8.908,89.093,93.539
93.444,-0.23334,8.9188,88.985,93.525
93.444,-0.22547,8.9296,88.874,93.513
93.444,-0.2176,8.9403,88.76,93.502
93.444,-0.20973,8.951,88.643,93.492
93.444,-0.20186,8.9617,88.524,93.483
